Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Alabama,2020,7,2/15/2020,1093,1019,17,193,24,50,35,73,23,18,27,254,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,8,2/22/2020,1096,1017,17,222,28,47,25,65,12,12,16,285,74,0,0,,,,,,,,,,,,,,,
Alabama,2020,9,2/29/2020,1161,1091,21,212,28,62,31,88,20,21,24,294,60,0,0,,,,,,,,,,,,,,,
Alabama,2020,10,3/7/2020,1053,950,18,144,25,65,34,60,24,23,21,265,57,0,0,,,,,,,,,,,,,,,
Alabama,2020,11,3/14/2020,1086,1009,16,199,31,65,30,75,28,27,20,264,68,0,0,,,,,,,,,,,,,,,
Alabama,2020,12,3/21/2020,1056,984,17,227,25,46,26,67,25,22,17,261,71,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,13,3/28/2020,1070,989,14,187,23,67,25,75,23,15,25,244,69,23,21,,,,,,,,,,,,,,,
Alabama,2020,14,4/4/2020,1153,1074,27,202,34,74,23,67,24,22,25,256,67,49,45,,,,,,,,,,,,,,,
Alabama,2020,15,4/11/2020,1131,1050,25,167,31,63,18,62,20,17,27,266,64,81,77,,,,,,,,,,,,,,,
Alabama,2020,16,4/18/2020,1138,1045,20,183,34,62,18,70,21,17,18,247,62,89,82,,,,,,,,,,,,,,,
Alabama,2020,17,4/25/2020,1133,1036,20,200,28,55,25,53,12,17,16,263,63,83,77,,,,,,,,,,,,,,,
Alabama,2020,18,5/2/2020,1146,1049,17,197,22,57,26,67,19,24,12,271,62,81,75,,,,,,,,,,,,,,,
Alabama,2020,19,5/9/2020,1161,1076,17,200,27,45,12,58,18,15,22,303,52,115,105,,,,,,,,,,,,,,,
Alabama,2020,20,5/16/2020,1141,1049,19,203,28,47,15,70,17,22,26,258,49,93,87,,,,,,,,,,,,,,,
Alabama,2020,21,5/23/2020,1143,1048,22,193,22,63,18,53,16,21,25,276,53,79,76,,,,,,,,,,,,,,,
Alabama,2020,22,5/30/2020,1098,994,23,160,28,53,21,51,14,15,28,242,47,103,99,,,,,,,,,,,,,,,
Alabama,2020,23,6/6/2020,1158,1065,26,212,20,48,17,62,19,15,21,286,56,88,82,,,,,,,,,,,,,,,
Alabama,2020,24,6/13/2020,1130,1034,14,176,23,53,12,65,17,24,28,278,58,81,75,,,,,,,,,,,,,,,
Alabama,2020,25,6/20/2020,1077,1009,29,198,22,48,12,61,16,17,39,251,53,88,81,,,,,,,,,,,,,,,
Alabama,2020,26,6/27/2020,1136,1064,12,220,23,60,15,55,15,17,31,261,67,101,92,,,,,,,,,,,,,,,
Alabama,2020,27,7/4/2020,1183,1106,14,218,30,59,13,60,,18,36,291,49,120,114,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2020,28,7/11/2020,1242,1167,17,213,28,63,12,63,14,20,38,292,72,133,120,,,,,,,,,,,,,,,
Alabama,2020,29,7/18/2020,1262,1188,23,202,23,66,22,69,18,18,36,268,65,186,167,,,,,,,,,,,,,,,
Alabama,2020,30,7/25/2020,1304,1236,21,208,24,65,15,70,10,20,34,280,75,245,232,,,,,,,,,,,,,,,
Alabama,2020,31,8/1/2020,1333,1254,15,195,20,55,25,73,21,20,33,300,68,260,235,,,,,,,,,,,,,,,
Alabama,2020,32,8/8/2020,1320,1245,14,175,26,41,19,74,13,16,40,278,68,253,242,,,,,,,,,,,,,,,
Alabama,2020,33,8/15/2020,1248,1164,,163,23,59,19,67,21,14,33,277,70,218,204,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alabama,2020,34,8/22/2020,1215,1158,14,190,18,54,17,55,12,19,39,267,70,197,186,,,,,,,,,,,,,,,
Alabama,2020,35,8/29/2020,1091,1029,18,182,22,52,12,56,18,18,32,213,53,169,160,,,,,,,,,,,,,,,
Alabama,2020,36,9/5/2020,1035,975,18,192,17,54,12,55,10,12,19,211,53,128,117,,,,,,,,,,,,,,,
Alabama,2020,37,9/12/2020,955,916,12,170,16,58,10,46,15,18,24,224,38,106,102,,,,,,,,,,,,,,,
Alabama,2020,38,9/19/2020,701,680,10,144,,38,,41,14,10,,152,41,83,79,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Alaska,2019,1,1/5/2019,93,82,,19,,,0,,,,0,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,2,1/12/2019,87,72,,14,,,,,,0,,13,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,3,1/19/2019,94,78,,16,,,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,4,1/26/2019,88,75,0,27,,,0,,0,0,0,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
Alaska,2019,5,2/2/2019,99,73,,21,,,,,,0,,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,6,2/9/2019,96,88,,30,,,,,0,,,13,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,7,2/16/2019,99,80,0,17,,,,,,,,18,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,8,2/23/2019,76,61,,19,,,,,0,,0,12,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,9,3/2/2019,94,77,,20,,0,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,10,3/9/2019,94,78,,25,,,,10,,,0,12,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,11,3/16/2019,100,81,,20,,,,,,0,,17,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,12,3/23/2019,71,63,,14,,,,,,,,10,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,13,3/30/2019,90,71,,24,,,,,,,0,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,14,4/6/2019,90,61,0,15,,,0,,,,0,14,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,15,4/13/2019,81,72,,13,,,0,,0,,,13,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,16,4/20/2019,78,64,0,18,,,,,0,,0,13,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,17,4/27/2019,79,67,,15,,,,,0,,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2019,18,5/4/2019,100,82,,20,,,0,,0,,,14,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,19,5/11/2019,86,73,0,26,,,0,,,0,,14,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,20,5/18/2019,91,73,0,17,,,0,,0,,0,23,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,21,5/25/2019,82,63,,24,,,,,0,,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2019,22,6/1/2019,77,64,0,14,,,,,0,0,0,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
Alaska,2019,23,6/8/2019,93,70,,18,,,0,,,,,12,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,24,6/15/2019,75,63,0,12,,,0,,,,,16,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,25,6/22/2019,97,83,,27,,,0,,0,,,16,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,26,6/29/2019,87,73,,13,,,0,,0,,,25,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,27,7/6/2019,81,71,,15,,,,,0,,,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,28,7/13/2019,91,71,,13,,,,,,0,0,21,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Alaska,2019,29,7/20/2019,74,60,,13,,,0,,0,,,16,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,30,7/27/2019,59,46,0,19,0,,,0,,0,0,12,,0,0,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Alaska,2019,31,8/3/2019,74,58,0,14,,,0,,0,,0,16,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,32,8/10/2019,86,71,0,20,0,,0,,,0,,,,0,0,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2019,33,8/17/2019,94,79,,25,,0,0,,,0,,26,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,34,8/24/2019,73,63,,14,,,,,,,0,16,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,35,8/31/2019,82,65,0,16,0,,0,,,,,15,,0,0,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,36,9/7/2019,71,63,,15,,,0,,,,0,11,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,37,9/14/2019,91,72,0,17,,,,,,,0,20,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,38,9/21/2019,94,81,0,21,,,0,,0,,0,23,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,39,9/28/2019,82,68,,13,,0,,,0,,,21,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,40,10/5/2019,93,77,,20,,,0,,0,,0,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,41,10/12/2019,91,75,0,20,,,0,,0,0,,16,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,42,10/19/2019,94,74,0,14,,,0,,,,,16,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,43,10/26/2019,67,54,0,12,,,,,,,0,10,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,44,11/2/2019,81,62,,16,,,,,,0,0,12,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Alaska,2019,45,11/9/2019,89,70,,21,,,0,,0,0,,16,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,46,11/16/2019,90,72,,16,,,0,,,0,,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,47,11/23/2019,92,82,,28,,,0,,0,,0,13,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,48,11/30/2019,103,89,,27,,,,,,,,19,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,49,12/7/2019,93,78,,23,,,0,,,,0,16,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,50,12/14/2019,94,80,,16,,,0,,,,,17,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,51,12/21/2019,84,69,0,20,,,0,,,,,21,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,52,12/28/2019,100,89,,23,,,,,,,0,25,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
